Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778651815,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778651816,20,,Aggregated,0.000000,0.000000,18,250,340,350,430,440,470,470,470,470,470,47,0,18,151.96168510753543,6.127500004367903,472.1242999949027,59.361702127659576
1778651817,60,,Aggregated,0.000000,0.000000,120,160,190,220,270,390,440,450,470,470,470,145,0,120.0,137.94511586210916,6.127500004367903,472.1242999949027,55.56551724137931
1778651818,80,,Aggregated,3.000000,0.000000,120,180,200,230,360,430,530,590,610,610,610,274,0,120.0,155.30827153254432,6.127500004367903,613.7868000078015,60.50729927007299
1778651820,100,,Aggregated,51.000000,0.000000,180,230,280,310,380,490,590,620,850,850,850,404,0,170.0,200.09344381148844,6.127500004367903,852.9292999883182,58.853960396039604
1778651821,100,,Aggregated,68.500000,0.000000,210,280,340,370,460,590,750,770,930,930,930,553,0,210.0,243.9291956598717,6.127500004367903,926.9201999995857,58.180831826401445
1778651822,100,,Aggregated,77.200000,0.000000,250,320,370,400,500,600,740,770,930,930,930,682,0,250.0,269.6598570381549,6.127500004367903,926.9201999995857,60.12756598240469
1778651823,100,,Aggregated,81.166667,0.000000,230,300,350,380,480,580,700,760,930,930,930,864,0,230.0,259.76871273114403,6.127500004367903,926.9201999995857,60.0775462962963
1778651824,100,,Aggregated,86.571429,0.000000,260,320,360,380,480,570,680,760,850,930,930,1007,0,260.0,271.4380930486709,6.127500004367903,926.9201999995857,60.6454816285998
1778651826,100,,Aggregated,99.000000,0.000000,270,340,370,400,490,570,670,750,850,930,930,1139,0,270.0,280.7682624230698,6.127500004367903,926.9201999995857,61.505706760316066
1778651827,100,,Aggregated,100.700000,0.000000,250,310,360,380,460,550,640,740,850,930,930,1310,0,250.0,269.99214145031453,6.127500004367903,926.9201999995857,61.440458015267176
1778651828,100,,Aggregated,113.300000,0.000000,230,290,340,370,450,530,630,720,850,930,930,1497,0,230.0,258.86414889766087,6.127500004367903,926.9201999995857,61.45424181696727
1778651829,100,,Aggregated,122.700000,0.000000,210,280,320,350,440,520,620,710,850,930,930,1696,0,210.0,248.622524704911,6.127500004367903,926.9201999995857,61.69221698113208
1778651830,100,,Aggregated,130.600000,0.000000,220,280,330,360,440,510,600,680,850,930,930,1840,0,220.0,252.49041793455115,6.127500004367903,926.9201999995857,61.30978260869565
1778651831,100,,Aggregated,134.200000,0.000000,230,290,330,360,440,510,600,680,830,930,930,2006,0,230.0,256.62856824493934,6.127500004367903,926.9201999995857,61.29212362911266
1778651833,100,,Aggregated,138.100000,0.000000,230,290,340,360,430,500,600,670,830,930,930,2148,0,230.0,260.2744276997087,6.127500004367903,926.9201999995857,60.438081936685286
1778651834,100,,Aggregated,140.000000,0.000000,230,280,330,350,430,500,590,670,830,930,930,2333,0,230.0,255.11370638626778,6.127500004367903,926.9201999995857,60.235747963994854
